CurrentPath,TargetPath,Action,Timing,Constraint
00_Governance,00_Governance,KEEP,Now,"Preserve approved Governance"
01_Product,01_Product,KEEP,Now,"No structural change"
02. Project Backup,"C:\Users\405880\Documents\Codex\UtilityAI_FieldData\PLC_HMI_Backup\02. Project Backup",MOVE_LATER,Separate approval,"Manifest Gate required"
03_Development/platform,03_Development/platform,KEEP,Now,"Canonical platform source"
03_Development/architecture,03_Development/architecture,KEEP,Now,"Preserve Architecture"
03_Development/tools,03_Development/tools,KEEP_AND_REVIEW,Migration,"Exclude runtime output"
04_Design,04_Design,KEEP,Now,"Preserve Design"
05_QA root reports,05_QA/reports,MOVE_LATER,Future normalization,"Analyze references first"
05_QA/fixtures,05_QA/fixtures/synthetic,KEEP_OR_MOVE_LATER,After provenance review,"Synthetic only"
05_QA/*/Output*,05_QA/generated,IGNORE_GENERATED,After ignore approval,"Do not track reruns"
05_QA/*/Project Files,05_QA/fixtures/synthetic,MANUAL_REVIEW,Before migration,"Prove synthetic and minimize"
07_Release/phase3_*,07_Release/design-gates/phase3,MOVE_LATER,Future normalization,"Preserve links"
07_Release/phase4_*,07_Release/design-gates/phase4,MOVE_LATER,Future normalization,"Preserve links"
07_Release expanded packages,07_Release/packages,IGNORE_GENERATED,After policy approval,"Canonical source in Development"
07_Release/*.zip,Private GitHub Release assets,PUBLISH_LATER,After release approval,"Not Git by default"
07_Release/*.zip.sha256,07_Release/manifests,KEEP_OR_MOVE_LATER,Migration,"Track with metadata"
usb,"C:\Users\405880\Documents\Codex\UtilityAI_FieldData\USB_Staging",MOVE_LATER,Separate approval,"No Git sync"
Inventory reports,05_QA/reports/repository-inventory,KEEP_OR_MOVE_LATER,Migration,"Durable audit evidence"
