PositionalId,OriginalHeader,NormalizedName,ExpectedMeaning,UtilityAIUsePurpose,ExampleDataType_SyntheticOnly,OTSensitivity,CredentialPossibility,EquipmentIdentifierPossibility,PLCNetworkAddressPossibility,AIAnalysisNeed,PilotRecommendation,RecommendationReason
VAREXP_COL_001,Class,CLASS,PCVue variable class or category,Tag classification and feature grouping,"String or enumerated text, e.g. synthetic placeholder only",MEDIUM,NONE_EXPECTED,LOW,NONE_EXPECTED,HIGH,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_002,Tagname,TAGNAME,Unique variable/tag identifier,Tag identity and cross-source matching,"String or enumerated text, e.g. synthetic placeholder only",HIGH,NONE_EXPECTED,HIGH,LOW_FREE_TEXT_POSSIBILITY,HIGH,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_016,Description,DESCRIPTION,Primary human-readable description,Semantic labeling and AI-readable context,"String or enumerated text, e.g. synthetic placeholder only",HIGH,LOW_FREE_TEXT_REVIEW,MEDIUM,LOW_FREE_TEXT_POSSIBILITY,HIGH,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_017,DescriptionAlt,DESCRIPTIONALT,Alternate or secondary description,Semantic labeling and AI-readable context,"String or enumerated text, e.g. synthetic placeholder only",HIGH,LOW_FREE_TEXT_REVIEW,MEDIUM,LOW_FREE_TEXT_POSSIBILITY,HIGH,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_018,Domain,DOMAIN,Functional domain classification,Tag classification and feature grouping,"String or enumerated text, e.g. synthetic placeholder only",MEDIUM,NONE_EXPECTED,LOW,NONE_EXPECTED,HIGH,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_019,Nature,NATURE,Variable nature or behavior classification,Tag classification and feature grouping,"String or enumerated text, e.g. synthetic placeholder only",MEDIUM,NONE_EXPECTED,LOW,NONE_EXPECTED,HIGH,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_020,Inhibited,INHIBITED,Whether the variable is inhibited,Quality/state and acquisition behavior context,"Boolean or enumerated flag, e.g. true/false",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,MEDIUM,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_021,Simulated,SIMULATED,Whether the variable is simulated,Quality/state and acquisition behavior context,"Boolean or enumerated flag, e.g. true/false",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,MEDIUM,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_022,Saved,SAVED,Whether the variable is saved/persistent,Quality/state and acquisition behavior context,"Boolean or enumerated flag, e.g. true/false",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,MEDIUM,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_027,PermanentScan,PERMANENTSCAN,Permanent scan configuration flag,Quality/state and acquisition behavior context,"Boolean or enumerated flag, e.g. true/false",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,METADATA_ONLY,Useful as schema/context metadata but not necessary as an initial row value
VAREXP_COL_047,Log0_1,LOG0_1,Logging transition flag for 0 to 1,Historian/logging eligibility assessment,"Boolean or enumerated flag, e.g. true/false",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,MEDIUM,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_048,Log1_0,LOG1_0,Logging transition flag for 1 to 0,Historian/logging eligibility assessment,"Boolean or enumerated flag, e.g. true/false",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,MEDIUM,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_051,AlarmLevel,ALARMLEVEL,Alarm severity or level,Alarm configuration understanding,"Integer or enumeration, e.g. 1",MEDIUM,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,MEDIUM,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_052,AlarmActiveAt1,ALARMACTIVEAT1,Alarm active-state polarity flag,Alarm configuration understanding,"Boolean or enumerated flag, e.g. true/false",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,MEDIUM,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_054,AlarmTemporization,ALARMTEMPORIZATION,Alarm activation delay/temporization,Alarm configuration understanding,"Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,METADATA_ONLY,Useful as schema/context metadata but not necessary as an initial row value
VAREXP_COL_056,ThresholdHysterisis,THRESHOLDHYSTERISIS,Threshold hysteresis configuration,Alarm configuration understanding,"Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_057,ThresholdValue | Thresholdvalue,THRESHOLDVALUE,Threshold comparison value,Alarm configuration understanding,"Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_058,ThresholdHigh,THRESHOLDHIGH,High/low threshold direction flag,Alarm configuration understanding,"Boolean or enumerated flag, e.g. true/false",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_061,ThresholdTypeInSystem,THRESHOLDTYPEINSYSTEM,Threshold type within the system,Alarm configuration understanding,"Integer or enumeration, e.g. 1",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,METADATA_ONLY,Useful as schema/context metadata but not necessary as an initial row value
VAREXP_COL_066,Unit,UNIT,Engineering unit,Engineering-unit interpretation and validation,"String or enumerated text, e.g. synthetic placeholder only",MEDIUM,NONE_EXPECTED,LOW,NONE_EXPECTED,HIGH,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_067,DeadbandValue | Deadbandvalue,DEADBANDVALUE,Deadband numeric value,"Range, scaling, or initialization context","Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_068,MinimumValue | Minimumvalue,MINIMUMVALUE,Configured minimum value,"Range, scaling, or initialization context","Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_069,MaximumValue | Maximumvalue,MAXIMUMVALUE,Configured maximum value,"Range, scaling, or initialization context","Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_070,ScaledValue | Scaledvalue,SCALEDVALUE,Scaling enable or scaled-value setting,"Range, scaling, or initialization context","Boolean or enumerated flag, e.g. true/false",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_071,DeviceMinimumValue | DeviceMinimumvalue,DEVICEMINIMUMVALUE,Device-side minimum value,"Range, scaling, or initialization context","Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_072,DeviceMaximumValue | DeviceMaximumvalue,DEVICEMAXIMUMVALUE,Device-side maximum value,"Range, scaling, or initialization context","Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_073,Format,FORMAT,Display or data formatting descriptor,Data representation interpretation,"String or enumerated text, e.g. synthetic placeholder only",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,MEDIUM,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_074,VariableMinimumValue | VariableMinimumvalue,VARIABLEMINIMUMVALUE,Variable-side minimum value,"Range, scaling, or initialization context","Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_075,VariableMaximumValue | VariableMaximumvalue,VARIABLEMAXIMUMVALUE,Variable-side maximum value,"Range, scaling, or initialization context","Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_076,ControlMinimumValue | ControlMinimumvalue,CONTROLMINIMUMVALUE,Control-side minimum value,"Range, scaling, or initialization context","Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_077,ControlMaximumValue | ControlMaximumvalue,CONTROLMAXIMUMVALUE,Control-side maximum value,"Range, scaling, or initialization context","Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_079,VariableControlMinimumValue | VariableControlMinimumvalue,VARIABLECONTROLMINIMUMVALUE,Variable control minimum value,"Range, scaling, or initialization context","Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_080,VariableControlMaximumValue | VariableControlMaximumvalue,VARIABLECONTROLMAXIMUMVALUE,Variable control maximum value,"Range, scaling, or initialization context","Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_106,TextSize,TEXTSIZE,Text value maximum size,"Range, scaling, or initialization context","Non-negative integer, e.g. 80",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,METADATA_ONLY,Useful as schema/context metadata but not necessary as an initial row value
VAREXP_COL_162,DeadbandType,DEADBANDTYPE,Deadband calculation type,Alarm configuration understanding,"Integer or enumeration, e.g. 1",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,METADATA_ONLY,Useful as schema/context metadata but not necessary as an initial row value
VAREXP_COL_163,Recorder,RECORDER,Historian/recorder assignment or enablement,Historian/logging eligibility assessment,"String or enumerated text, e.g. synthetic placeholder only",MEDIUM,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,MEDIUM,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_166,MessageAlarm,MESSAGEALARM,Alarm message text or reference,Alarm configuration understanding,"String or enumerated text, e.g. synthetic placeholder only",HIGH,LOW_FREE_TEXT_REVIEW,MEDIUM,LOW_FREE_TEXT_POSSIBILITY,MEDIUM,APPROVE,"Required for minimum non-communication Tag identity, semantics, unit, alarm, or historian validation"
VAREXP_COL_181,AlarmAcknowledgmentLevel,ALARMACKNOWLEDGMENTLEVEL,Alarm acknowledgment authorization level,Alarm configuration understanding,"Integer or enumeration, e.g. 1",MEDIUM,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,METADATA_ONLY,Useful as schema/context metadata but not necessary as an initial row value
VAREXP_COL_182,AlarmMaskLevel,ALARMMASKLEVEL,Alarm masking authorization level,Alarm configuration understanding,"Integer or enumeration, e.g. 1",MEDIUM,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,METADATA_ONLY,Useful as schema/context metadata but not necessary as an initial row value
VAREXP_COL_183,AlarmMaintenanceLevel,ALARMMAINTENANCELEVEL,Alarm maintenance authorization level,Alarm configuration understanding,"Integer or enumeration, e.g. 1",MEDIUM,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,METADATA_ONLY,Useful as schema/context metadata but not necessary as an initial row value
VAREXP_COL_184,WithInitialValue | WithInitialvalue,WITHINITIALVALUE,Whether an initial value is configured,"Range, scaling, or initialization context","Boolean or enumerated flag, e.g. true/false",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
VAREXP_COL_185,InitialValue | Initialvalue,INITIALVALUE,Configured initial value,"Range, scaling, or initialization context","Numeric configuration value, e.g. 0.0",LOW,NONE_EXPECTED,NONE_EXPECTED,NONE_EXPECTED,LOW,EXCLUDE,"Operational threshold, range, scaling, control, or initial-value setting is not required for the first Pilot"
