Fixture,Expected,Actual,Records,Bytes,StopReason,Pass
VAREXP_FIRST_SCHEMA,APPROVED_STRUCTURE,APPROVED_STRUCTURE,1,2506,SCHEMA_FOUND,PASS
VAREXP_VERSION_THEN_SCHEMA_EMPTY_DUP,STRUCTURE_REVIEW_REQUIRED,STRUCTURE_REVIEW_REQUIRED,2,2553,SCHEMA_FOUND,PASS
VAREXP_NO_SCHEMA_3_RECORDS,REVIEW_REQUIRED,REVIEW_REQUIRED,3,33,RECORD_LIMIT_REACHED,PASS
VAREXP_64K_BOUNDARY,REVIEW_REQUIRED,REVIEW_REQUIRED,0,65536,BYTE_LIMIT_REACHED,PASS
VAREXP_MALFORMED_QUOTE,ERROR,ERROR,1,38,MALFORMED_CSV_UNCLOSED_QUOTE,PASS
PVTREND_APPROVED,APPROVED_STRUCTURE,APPROVED_STRUCTURE,1,189,SCHEMA_FOUND,PASS
PVTREND_NONFIRST_EMPTY,REVIEW_REQUIRED,REVIEW_REQUIRED,1,163,PVTREND_SCHEMA_MISMATCH,PASS
HISTO_NO_DISCOVERY_READ,MANUAL_FORMAT_REVIEW_REQUIRED,MANUAL_FORMAT_REVIEW_REQUIRED,0,0,HISTO_CONTENT_NOT_ACCESSED,PASS
CREDENTIAL_SENTINEL,SENSITIVE_REVIEW_REQUIRED,SENSITIVE_REVIEW_REQUIRED,1,42,SENSITIVE_PATTERN,PASS
UNAPPROVED_CSV_SENTINEL,0_DISCLOSURE,0_DISCLOSURE,,,,PASS
DATA_ROW_SENTINEL,0_DISCLOSURE,0_DISCLOSURE,,,,PASS
NATIVE_DAT_XLSX_XML_SENTINEL,0_DISCLOSURE,0_DISCLOSURE,,,,PASS
