Fixture,Expected,Actual,Result
STATIC_SECURITY,PASS,PASS,PASS
SCHEMA_FIRST,Schema record 1 accepted,SCHEMA_RECORD_1,PASS
VERSION_PLUS_SCHEMA,Schema record 2 accepted,SCHEMA_RECORD_2,PASS
NORMAL_262,100 rows emitted within limits,100,PASS
FIELD_COUNT_261,Stop source file,FIELD_COUNT_261,PASS
FIELD_COUNT_263,Stop source file,FIELD_COUNT_263,PASS
QUOTED_COMMA,Preserved,Preserved,PASS
EMBEDDED_QUOTE,Preserved,Preserved,PASS
MULTILINE_QUOTED,Preserved,Preserved,PASS
UTF8_BOM,Accepted,Accepted,PASS
ASCII_COMPATIBLE,Accepted,Accepted,PASS
EMPTY_APPROVED_VALUE,Preserved empty,Preserved empty,PASS
CREDENTIAL_SECRET,SENSITIVE_REVIEW_REQUIRED; raw 0,SENSITIVE_REVIEW_REQUIRED; raw 0,PASS
EXCLUDED_FIELD_SENTINEL,0 output,0,PASS
RECORD_21_BOUNDARY,0 output under production config,0,PASS
BYTE_256K_BOUNDARY,Stop at 262144 bytes,262144; no emit,PASS
GLOBAL_ROW_101_BOUNDARY,101st row output 0,0,PASS
SOURCE_IMMUTABILITY,0 changes,0,PASS
UNAPPROVED_FILE_ACCESS_SENTINEL,0 output,0,PASS
DAT_XLSX_XML_SENTINEL,0 output,0,PASS
INTERNAL_EXTERNAL_SHA256,PASS,PASS,PASS
